,"(deg C) Mean Temperature (ERA5) at Nuwara Eliya, 2007-01-01 to 2025-12-31"
"2009-02-24",24.2184
"2009-02-25",24.7857
"2009-02-26",24.9822
"2009-02-27",24.9324
"2009-02-28",25.1674
"2009-03-01",24.9978
"2009-03-02",23.847
"2009-03-03",24.0479
"2009-03-04",24.5792
"2009-03-05",25.0175
"2009-03-06",25.2382
"2009-03-07",25.3317
"2009-03-08",23.3188
"2009-03-09",22.7488
"2009-03-10",23.0972
"2009-03-11",23.4456
"2009-03-12",23.4332
"2009-03-13",23.0261
"2009-03-14",22.5848
"2009-03-15",23.8267
"2009-03-16",24.0643
"2009-03-17",23.7196
"2009-03-18",24.3893
"2009-03-19",24.8791
"2009-03-20",23.7219
"2009-03-21",24.3394
"2009-03-22",24.9907
"2009-03-23",24.986
"2009-03-24",23.2064
"2009-03-25",24.0738
"2009-03-26",23.7209
"2009-03-27",23.7587
"2009-03-28",24.4448
"2009-03-29",23.767
"2009-03-30",23.3346
"2009-03-31",24.4032
"2009-04-01",24.8422
"2009-04-02",23.7434
"2009-04-03",23.5345
"2009-04-04",23.6699
"2009-04-05",23.4368
"2009-04-06",23.8114
"2009-04-07",24.2885
"2009-04-08",23.3564
"2009-04-09",23.5662
"2009-04-10",23.0056
"2009-04-11",23.3218
"2009-04-12",24.2269
"2009-04-13",23.4383
"2009-04-14",24.3579
"2009-04-15",24.8776
"2009-04-16",24.9689
"2009-04-17",25.3901
"2009-04-18",25.5484
"2009-04-19",25.6641
"2009-04-20",24.8606
"2009-04-21",24.7162
"2009-04-22",24.5941
"2009-04-23",24.8819
"2009-04-24",25.0223
"2009-04-25",25.5007
"2009-04-26",25.0394
"2009-04-27",25.0054
"2009-04-28",25.0631
"2009-04-29",24.6676
"2009-04-30",24.6429
"2009-05-01",24.779
"2009-05-02",25.9149
"2009-05-03",25.9118
"2009-05-04",25.9436
"2009-05-05",25.2253
"2009-05-06",25.1258
"2009-05-07",25.9613
"2009-05-08",25.317
"2009-05-09",25.3422
"2009-05-10",25.2777
"2009-05-11",25.9911
"2009-05-12",25.8545
"2009-05-13",25.2393
"2009-05-14",25.4896
"2009-05-15",25.6734
"2009-05-16",25.7632
"2009-05-17",24.8406
"2009-05-18",24.8942
"2009-05-19",24.1897
"2009-05-20",23.2275
"2009-05-21",23.6392
"2009-05-22",24.0125
"2009-05-23",23.7682
"2009-05-24",23.4734
