,"(deg C) Mean Temperature (ERA5) at Kandy, 2007-01-01 to 2025-12-31"
"2009-09-22",23.978
"2009-09-23",24.6883
"2009-09-24",24.7062
"2009-09-25",24.4727
"2009-09-26",24.6706
"2009-09-27",24.6148
"2009-09-28",24.6851
"2009-09-29",23.8329
"2009-09-30",24.2442
"2009-10-01",23.5464
"2009-10-02",23.3421
"2009-10-03",23.9399
"2009-10-04",24.4582
"2009-10-05",24.4171
"2009-10-06",24.4277
"2009-10-07",24.3759
"2009-10-08",24.4149
"2009-10-09",24.6096
"2009-10-10",24.855
"2009-10-11",25.2545
"2009-10-12",24.0701
"2009-10-13",23.7649
"2009-10-14",23.5189
"2009-10-15",24.4413
"2009-10-16",24.1001
"2009-10-17",24.6331
"2009-10-18",24.7656
"2009-10-19",23.6891
"2009-10-20",23.6195
"2009-10-21",24.3054
"2009-10-22",24.137
"2009-10-23",24.2759
"2009-10-24",24.3111
"2009-10-25",24.9699
"2009-10-26",25.1394
"2009-10-27",24.0651
"2009-10-28",24.0222
"2009-10-29",23.404
"2009-10-30",24.8651
"2009-10-31",23.8072
"2009-11-01",23.7474
"2009-11-02",23.1551
"2009-11-03",23.5306
"2009-11-04",23.1879
"2009-11-05",23.651
"2009-11-06",23.8256
"2009-11-07",23.6052
"2009-11-08",23.484
"2009-11-09",23.6294
"2009-11-10",23.5924
"2009-11-11",24.4322
"2009-11-12",24.4468
"2009-11-13",24.1663
"2009-11-14",23.5033
"2009-11-15",22.7627
"2009-11-16",23.8516
"2009-11-17",23.9129
"2009-11-18",23.1981
"2009-11-19",23.4665
"2009-11-20",22.3867
"2009-11-21",22.6793
"2009-11-22",23.143
"2009-11-23",23.0995
"2009-11-24",22.8196
"2009-11-25",23.1225
"2009-11-26",23.0747
"2009-11-27",22.8613
"2009-11-28",22.9953
