,"(mm) Precipitation (CHIRPS) at Matara, 2007-01-01 to 2025-12-31"
"2009-08-10",0
"2009-08-11",0
"2009-08-12",0.1187
"2009-08-13",3.8502
"2009-08-14",0
"2009-08-15",25.673
"2009-08-16",50.8515
"2009-08-17",0
"2009-08-18",4.6107
"2009-08-19",1.2354
"2009-08-20",28.6526
"2009-08-21",105.7685
"2009-08-22",0
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0
"2009-08-26",4.3411
"2009-08-27",2.5541
"2009-08-28",0
"2009-08-29",34.2112
"2009-08-30",0
"2009-08-31",0
"2009-09-01",22.5273
"2009-09-02",29.8281
"2009-09-03",0
"2009-09-04",0.0344
"2009-09-05",2.3164
"2009-09-06",0.1103
"2009-09-07",50.2065
"2009-09-08",13.8663
"2009-09-09",1.4427
"2009-09-10",0
"2009-09-11",0
"2009-09-12",0
"2009-09-13",0.6974
"2009-09-14",2.7704
"2009-09-15",0
"2009-09-16",0.1062
"2009-09-17",9.7592
"2009-09-18",9.577
"2009-09-19",23.5293
"2009-09-20",0
"2009-09-21",12.2445
"2009-09-22",0.1199
"2009-09-23",0
"2009-09-24",0.1635
"2009-09-25",9.0523
"2009-09-26",0
"2009-09-27",10.6532
"2009-09-28",0.1668
"2009-09-29",10.6528
"2009-09-30",18.5292
"2009-10-01",21.4795
"2009-10-02",33.5585
"2009-10-03",10.3289
"2009-10-04",16.3139
"2009-10-05",0
"2009-10-06",0
"2009-10-07",0.2244
"2009-10-08",0
"2009-10-09",0
"2009-10-10",0
"2009-10-11",1.6004
"2009-10-12",8.3727
"2009-10-13",0
"2009-10-14",12.2771
"2009-10-15",0.51
"2009-10-16",1.3778
"2009-10-17",10.0706
"2009-10-18",5.1746
"2009-10-19",0.0392
"2009-10-20",9.0582
"2009-10-21",9.1755
"2009-10-22",0.9367
"2009-10-23",6.5841
"2009-10-24",0
"2009-10-25",0
"2009-10-26",6.2464
"2009-10-27",16.5369
"2009-10-28",15.3736
"2009-10-29",17.7354
"2009-10-30",0
"2009-10-31",24.0489
"2009-11-01",19.0263
"2009-11-02",8.8615
"2009-11-03",15.872
"2009-11-04",19.9258
"2009-11-05",41.8563
"2009-11-06",52.1106
"2009-11-07",16.7186
"2009-11-08",9.7346
"2009-11-09",15.4166
"2009-11-10",1.8567
"2009-11-11",0
"2009-11-12",24.898
"2009-11-13",44.9427
"2009-11-14",35.9939
"2009-11-15",30.7077
"2009-11-16",0
"2009-11-17",30.4296
"2009-11-18",4.0476
"2009-11-19",21.9264
"2009-11-20",40.3013
"2009-11-21",9.2745
"2009-11-22",17.5102
"2009-11-23",36.1982
"2009-11-24",4.4211
"2009-11-25",10.6749
"2009-11-26",6.3188
"2009-11-27",0
"2009-11-28",8.3151
"2009-11-29",4.8291
"2009-11-30",13.2777
"2009-12-01",12.2934
"2009-12-02",2.4728
