,"(mm) Precipitation (CHIRPS) at Ratnapura, 2007-01-01 to 2025-12-31"
"2009-05-19",40.8175
"2009-05-20",26.3113
"2009-05-21",33.3344
"2009-05-22",28.3624
"2009-05-23",8.4611
"2009-05-24",27.3291
"2009-05-25",3.2943
"2009-05-26",22.9855
"2009-05-27",6.5531
"2009-05-28",0
"2009-05-29",0
"2009-05-30",34.2902
"2009-05-31",7.2118
"2009-06-01",0.0058
"2009-06-02",0
"2009-06-03",0.5489
"2009-06-04",2.1402
"2009-06-05",39.043
"2009-06-06",0.3989
"2009-06-07",8.4977
"2009-06-08",0.5334
"2009-06-09",0
"2009-06-10",0
"2009-06-11",8.2739
"2009-06-12",3.4242
"2009-06-13",6.5755
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",0.4578
"2009-06-18",22.491
"2009-06-19",27.4915
"2009-06-20",0.5435
"2009-06-21",0
"2009-06-22",0.581
"2009-06-23",0.72
"2009-06-24",14.7961
"2009-06-25",27.9375
"2009-06-26",5.8152
"2009-06-27",27.3139
"2009-06-28",33.9828
"2009-06-29",33.6817
"2009-06-30",22.7067
"2009-07-01",22.8011
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0
"2009-07-05",1.3574
"2009-07-06",37.408
"2009-07-07",4.8118
"2009-07-08",0
"2009-07-09",0.4971
"2009-07-10",0
"2009-07-11",0.8709
"2009-07-12",0
"2009-07-13",0
"2009-07-14",12.3486
"2009-07-15",0.4834
"2009-07-16",2.2335
"2009-07-17",34.1394
"2009-07-18",0
"2009-07-19",0.332
"2009-07-20",0
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0.1403
"2009-07-24",10.2609
"2009-07-25",4.7036
"2009-07-26",4.8759
"2009-07-27",0.0003
"2009-07-28",0.1626
"2009-07-29",0.1559
"2009-07-30",2.7655
"2009-07-31",0.6607
"2009-08-01",0.0113
"2009-08-02",2.0775
"2009-08-03",0.8918
"2009-08-04",0.0226
"2009-08-05",0
"2009-08-06",0
"2009-08-07",6.6688
"2009-08-08",0.2977
"2009-08-09",0.0003
"2009-08-10",0
"2009-08-11",2.3538
"2009-08-12",3.5986
"2009-08-13",4.4225
"2009-08-14",12.8919
"2009-08-15",29.9447
"2009-08-16",41.8847
"2009-08-17",1.8626
"2009-08-18",17.2473
"2009-08-19",14.4002
"2009-08-20",24.0678
"2009-08-21",34.5905
"2009-08-22",1.0087
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0.5072
"2009-08-26",0.7959
"2009-08-27",7.3819
"2009-08-28",2.7481
"2009-08-29",25.5397
"2009-08-30",1.6236
"2009-08-31",2.55
"2009-09-01",11.0011
"2009-09-02",5.4835
"2009-09-03",0
"2009-09-04",14.2399
"2009-09-05",0.0014
"2009-09-06",0.1403
"2009-09-07",2.7283
"2009-09-08",0
"2009-09-09",0
"2009-09-10",0
"2009-09-11",0.1005
"2009-09-12",0
"2009-09-13",0.1519
"2009-09-14",0.6077
"2009-09-15",0
"2009-09-16",0
"2009-09-17",8.1797
"2009-09-18",57.0074
"2009-09-19",15.4693
"2009-09-20",0.4048
"2009-09-21",0.0096
"2009-09-22",0.001
"2009-09-23",2.7635
"2009-09-24",0
"2009-09-25",8.7437
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0.1443
"2009-09-29",4.9464
"2009-09-30",5.3911
"2009-10-01",8.8273
"2009-10-02",13.3655
"2009-10-03",2.6926
"2009-10-04",3.2672
"2009-10-05",0
"2009-10-06",0
"2009-10-07",1.2541
"2009-10-08",0
"2009-10-09",0
"2009-10-10",0.0808
"2009-10-11",9.5884
"2009-10-12",16.0318
"2009-10-13",1.2163
"2009-10-14",24.6145
"2009-10-15",7.926
"2009-10-16",9.8834
"2009-10-17",14.5004
"2009-10-18",17.2634
"2009-10-19",3.0075
"2009-10-20",16.9881
"2009-10-21",5.4232
"2009-10-22",1.5924
"2009-10-23",3.2717
"2009-10-24",2.1571
"2009-10-25",2.6958
"2009-10-26",11.5002
"2009-10-27",10.7943
"2009-10-28",19.0161
"2009-10-29",21.0698
"2009-10-30",4.101
"2009-10-31",28.7396
"2009-11-01",9.5781
"2009-11-02",14.8177
"2009-11-03",6.9168
"2009-11-04",16.4927
"2009-11-05",19.926
"2009-11-06",30.1712
"2009-11-07",8.569
"2009-11-08",35.4687
"2009-11-09",25.6208
"2009-11-10",4.3179
"2009-11-11",0
"2009-11-12",30.8818
"2009-11-13",33.4546
"2009-11-14",24.3886
"2009-11-15",27.2114
"2009-11-16",0
"2009-11-17",36.097
"2009-11-18",13.016
"2009-11-19",15.9342
"2009-11-20",35.5508
"2009-11-21",22.0479
"2009-11-22",17.9706
"2009-11-23",17.1028
"2009-11-24",11.618
"2009-11-25",17.2424
"2009-11-26",0.7811
"2009-11-27",0
"2009-11-28",12.0926
"2009-11-29",7.4998
"2009-11-30",20.0245
"2009-12-01",16.2939
"2009-12-02",5.193
"2009-12-03",8.0304
"2009-12-04",2.8724
"2009-12-05",7.9243
"2009-12-06",11.6013
"2009-12-07",9.0176
"2009-12-08",7.1285
"2009-12-09",9.7881
"2009-12-10",2.3974
"2009-12-11",0
"2009-12-12",14.854
"2009-12-13",15.2053
"2009-12-14",6.5408
"2009-12-15",13.1512
"2009-12-16",2.1043
"2009-12-17",5.9718
"2009-12-18",9.2628
"2009-12-19",1.8631
"2009-12-20",0.3371
"2009-12-21",15.9106
"2009-12-22",0.5935
"2009-12-23",0.1884
"2009-12-24",6.8731
"2009-12-25",3.9215
"2009-12-26",3.7167
"2009-12-27",9.6707
"2009-12-28",5.1006
"2009-12-29",11.5937
"2009-12-30",1.4862
"2009-12-31",0.0375
"2010-01-01",0.7494
"2010-01-02",0.6948
"2010-01-03",9.272
"2010-01-04",0.6907
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0
"2010-01-08",15.7086
"2010-01-09",0.0287
"2010-01-10",0
"2010-01-11",0.2031
"2010-01-12",11.0567
"2010-01-13",4.9057
"2010-01-14",3.9182
"2010-01-15",0
"2010-01-16",8.737
"2010-01-17",8.2829
"2010-01-18",15.0664
"2010-01-19",6.7649
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",16.4119
"2010-01-28",3.6007
"2010-01-29",2.0324
"2010-01-30",3.4234
"2010-01-31",21.1007
"2010-02-01",27.55
"2010-02-02",9.6318
"2010-02-03",5.812
"2010-02-04",0.0126
"2010-02-05",1.32
"2010-02-06",0
"2010-02-07",0
