,"(mm) Precipitation (CHIRPS) at Kurunegala, 2007-01-01 to 2025-12-31"
"2008-09-25",0
"2008-09-26",2.2571
"2008-09-27",3.2491
"2008-09-28",2.8556
"2008-09-29",0
"2008-09-30",0
"2008-10-01",0
"2008-10-02",1.2275
"2008-10-03",0
"2008-10-04",23.0513
"2008-10-05",10.5674
"2008-10-06",6.7384
"2008-10-07",10.8481
"2008-10-08",2.1712
"2008-10-09",4.7717
"2008-10-10",3.1348
"2008-10-11",12.3082
"2008-10-12",26.0628
"2008-10-13",15.1849
"2008-10-14",13.8026
"2008-10-15",15.8168
"2008-10-16",17.2933
"2008-10-17",8.6932
"2008-10-18",13.3545
"2008-10-19",25.9359
"2008-10-20",15.383
"2008-10-21",19.2435
"2008-10-22",7.9804
"2008-10-23",7.9916
"2008-10-24",10.5326
"2008-10-25",21.4413
"2008-10-26",2.6087
"2008-10-27",0
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",0
"2008-11-08",2.9629
"2008-11-09",1.2289
"2008-11-10",17.8035
"2008-11-11",11.5586
"2008-11-12",7.2127
"2008-11-13",4.5087
"2008-11-14",0.8211
"2008-11-15",2.2444
"2008-11-16",0
"2008-11-17",0.0171
"2008-11-18",1.3778
"2008-11-19",3.8897
"2008-11-20",12.3075
"2008-11-21",6.6836
"2008-11-22",16.369
"2008-11-23",32.3432
"2008-11-24",29.9215
"2008-11-25",17.5259
"2008-11-26",2.4246
"2008-11-27",0.3668
"2008-11-28",21.0635
"2008-11-29",6.087
"2008-11-30",3.6464
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0
"2008-12-05",0
"2008-12-06",15.9964
"2008-12-07",24.6431
"2008-12-08",19.1403
"2008-12-09",14.5929
"2008-12-10",2.567
"2008-12-11",2.2101
"2008-12-12",0
"2008-12-13",0.2428
"2008-12-14",0
"2008-12-15",6.7723
"2008-12-16",1.7227
"2008-12-17",7.3715
"2008-12-18",7.1478
"2008-12-19",0.0005
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0.688
"2008-12-23",0
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",4.0481
"2009-01-07",0
"2009-01-08",7.0598
"2009-01-09",23.5491
"2009-01-10",3.911
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0
"2009-01-22",0.0396
"2009-01-23",0
"2009-01-24",0
"2009-01-25",4.1948
"2009-01-26",5.726
"2009-01-27",1.4156
"2009-01-28",0.5118
"2009-01-29",0.4903
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0.0598
"2009-02-20",0
"2009-02-21",0
"2009-02-22",5.4761
"2009-02-23",8.0036
"2009-02-24",0.4329
"2009-02-25",0.1799
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0
"2009-03-06",0.8044
"2009-03-07",5.3873
"2009-03-08",27.8231
"2009-03-09",23.8115
"2009-03-10",25.7496
"2009-03-11",22.3389
"2009-03-12",15.7406
"2009-03-13",12.7291
"2009-03-14",16.0222
"2009-03-15",14.3197
"2009-03-16",0
"2009-03-17",0.136
"2009-03-18",0
"2009-03-19",0.8412
"2009-03-20",5.2013
"2009-03-21",0
"2009-03-22",1.0263
"2009-03-23",4.8489
"2009-03-24",9.0357
"2009-03-25",16.7239
"2009-03-26",6.7983
"2009-03-27",0.6426
"2009-03-28",7.5865
"2009-03-29",9.4132
"2009-03-30",13.6126
"2009-03-31",1.4648
"2009-04-01",4.9619
"2009-04-02",5.0205
"2009-04-03",9.1986
"2009-04-04",9.4947
"2009-04-05",12.0288
"2009-04-06",8.075
"2009-04-07",8.4216
"2009-04-08",14.7415
"2009-04-09",14.2383
"2009-04-10",26.2998
"2009-04-11",28.954
"2009-04-12",1.3519
"2009-04-13",13.657
"2009-04-14",5.668
"2009-04-15",0
"2009-04-16",1.1312
"2009-04-17",0.0526
"2009-04-18",2.5391
"2009-04-19",0.1398
"2009-04-20",0
"2009-04-21",0
"2009-04-22",3.4087
"2009-04-23",0.3887
"2009-04-24",0.3899
"2009-04-25",0
"2009-04-26",0.0023
"2009-04-27",5.8899
"2009-04-28",0.0266
"2009-04-29",0
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",0
"2009-05-06",0.2255
"2009-05-07",2.9997
"2009-05-08",0.352
"2009-05-09",0
"2009-05-10",0
"2009-05-11",0
"2009-05-12",5.4471
"2009-05-13",0.4962
"2009-05-14",0.0245
"2009-05-15",0
"2009-05-16",5.0258
"2009-05-17",10.8816
"2009-05-18",4.9771
"2009-05-19",23.7875
"2009-05-20",7.0675
"2009-05-21",4.2397
"2009-05-22",4.8713
"2009-05-23",0.6452
"2009-05-24",1.559
"2009-05-25",15.8417
"2009-05-26",21.7762
"2009-05-27",0.3423
"2009-05-28",0
"2009-05-29",0
"2009-05-30",0.3342
"2009-05-31",3.2388
"2009-06-01",0
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0
"2009-06-05",6.2913
"2009-06-06",8.6277
"2009-06-07",11.3148
"2009-06-08",0.4235
"2009-06-09",0
"2009-06-10",0
"2009-06-11",7.3084
"2009-06-12",0.5654
"2009-06-13",1.5678
"2009-06-14",0.037
"2009-06-15",0
"2009-06-16",0
"2009-06-17",3.4166
"2009-06-18",2.5366
"2009-06-19",14.9627
"2009-06-20",1.3316
"2009-06-21",0
"2009-06-22",0
"2009-06-23",0.0173
"2009-06-24",4.9524
"2009-06-25",2.6676
"2009-06-26",2.6656
"2009-06-27",0.2835
"2009-06-28",0.1555
"2009-06-29",8.9881
"2009-06-30",12.8934
"2009-07-01",0.003
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0.0371
"2009-07-05",5.7271
"2009-07-06",8.5362
"2009-07-07",0.0587
"2009-07-08",0.05
"2009-07-09",0.2462
"2009-07-10",0.7157
"2009-07-11",0
"2009-07-12",0
"2009-07-13",0
"2009-07-14",12.1651
"2009-07-15",1.2983
"2009-07-16",2.6656
"2009-07-17",6.0279
"2009-07-18",0.0347
"2009-07-19",0.2581
"2009-07-20",0.4505
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0
"2009-07-24",0.4139
"2009-07-25",1.0408
"2009-07-26",0.057
"2009-07-27",0
"2009-07-28",0
"2009-07-29",0.6348
"2009-07-30",0.9707
"2009-07-31",2.1433
"2009-08-01",0
"2009-08-02",0
"2009-08-03",0.0143
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",0.9281
"2009-08-08",0
"2009-08-09",0
"2009-08-10",0
"2009-08-11",7.0049
"2009-08-12",5.1409
"2009-08-13",7.2363
"2009-08-14",6.0799
"2009-08-15",20.0176
"2009-08-16",20.648
"2009-08-17",9.8695
"2009-08-18",7.3922
"2009-08-19",13.7623
"2009-08-20",14.1033
"2009-08-21",0.6517
"2009-08-22",2.1515
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0
"2009-08-26",0
"2009-08-27",0
"2009-08-28",0.0825
"2009-08-29",0
"2009-08-30",0.0238
"2009-08-31",3.8946
"2009-09-01",0.5805
"2009-09-02",0
"2009-09-03",0
"2009-09-04",0.2595
"2009-09-05",2.9475
"2009-09-06",4.6462
"2009-09-07",0.9719
"2009-09-08",0
"2009-09-09",2.4295
"2009-09-10",0
"2009-09-11",4.1981
"2009-09-12",0.383
"2009-09-13",6.1103
"2009-09-14",0
"2009-09-15",0
"2009-09-16",0
"2009-09-17",3.028
"2009-09-18",23.3461
"2009-09-19",0
"2009-09-20",0
"2009-09-21",4.0926
"2009-09-22",5.7169
"2009-09-23",0.0331
"2009-09-24",0
"2009-09-25",0
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0
"2009-09-29",1.8569
"2009-09-30",1.1606
"2009-10-01",4.1615
"2009-10-02",12.4384
"2009-10-03",0
"2009-10-04",2.0425
"2009-10-05",0.0753
"2009-10-06",0
"2009-10-07",5.7852
"2009-10-08",0
"2009-10-09",0
"2009-10-10",0
"2009-10-11",0.0345
"2009-10-12",24.8955
"2009-10-13",12.1936
"2009-10-14",46.3608
"2009-10-15",0.1779
"2009-10-16",3.1646
"2009-10-17",0
"2009-10-18",13.6842
"2009-10-19",10.8463
"2009-10-20",13.8331
"2009-10-21",1.74
"2009-10-22",0
"2009-10-23",0
"2009-10-24",0
"2009-10-25",0
"2009-10-26",0
"2009-10-27",3.6538
"2009-10-28",14.993
"2009-10-29",20.6182
"2009-10-30",1.0203
"2009-10-31",22.4526
"2009-11-01",0
"2009-11-02",9.0453
"2009-11-03",17.626
"2009-11-04",15.6643
"2009-11-05",11.2353
"2009-11-06",33.71
"2009-11-07",3.4728
"2009-11-08",27.6784
"2009-11-09",38.2162
"2009-11-10",12.797
"2009-11-11",0.724
"2009-11-12",29.1912
"2009-11-13",19.9581
"2009-11-14",22.7016
"2009-11-15",24.5001
"2009-11-16",0.941
"2009-11-17",28.0524
"2009-11-18",15.6546
"2009-11-19",10.6187
"2009-11-20",21.6309
"2009-11-21",22.3336
"2009-11-22",17.1096
"2009-11-23",5.6351
"2009-11-24",9.9776
"2009-11-25",7.893
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0
"2009-11-29",0.1202
"2009-11-30",0.9691
"2009-12-01",26.6469
"2009-12-02",20.0647
"2009-12-03",0.0545
"2009-12-04",0.0037
"2009-12-05",0
"2009-12-06",1.8399
"2009-12-07",0.169
"2009-12-08",3.4818
"2009-12-09",3.6215
"2009-12-10",0
"2009-12-11",0.2761
"2009-12-12",17.8417
"2009-12-13",3.1443
"2009-12-14",17.9641
"2009-12-15",25.2815
"2009-12-16",4.3816
"2009-12-17",4.9455
"2009-12-18",6.8033
"2009-12-19",5.1703
"2009-12-20",0
"2009-12-21",7.6102
"2009-12-22",10.1761
"2009-12-23",0.7137
"2009-12-24",11.5773
"2009-12-25",7.0187
"2009-12-26",0.6789
"2009-12-27",10.1039
"2009-12-28",5.1308
"2009-12-29",0.1547
"2009-12-30",0.2707
"2009-12-31",0
"2010-01-01",0
"2010-01-02",0.5503
"2010-01-03",5.7922
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0
"2010-01-08",4.2774
"2010-01-09",21.0646
"2010-01-10",1.6419
"2010-01-11",1.0907
"2010-01-12",13.4558
"2010-01-13",3.5202
"2010-01-14",0
"2010-01-15",0
"2010-01-16",9.2536
"2010-01-17",1.1944
"2010-01-18",0.994
"2010-01-19",0
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",0.1596
"2010-01-28",0
"2010-01-29",0
"2010-01-30",0
"2010-01-31",1.2541
"2010-02-01",8.0398
"2010-02-02",0
"2010-02-03",0
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0.116
"2010-02-07",0.183
"2010-02-08",0
"2010-02-09",0.0049
"2010-02-10",1.0352
"2010-02-11",13.2238
"2010-02-12",3.7383
"2010-02-13",0.1238
"2010-02-14",0
"2010-02-15",0.0096
"2010-02-16",3.3134
"2010-02-17",2.1415
"2010-02-18",0
"2010-02-19",0
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",2.8552
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0
"2010-03-06",0
