,"(mm) Precipitation (CHIRPS) at Kalutara, 2007-01-01 to 2025-12-31"
"2009-03-18",0.3832
"2009-03-19",2.6476
"2009-03-20",24.9951
"2009-03-21",9.8358
"2009-03-22",0.0299
"2009-03-23",12.3173
"2009-03-24",22.49
"2009-03-25",5.3837
"2009-03-26",24.9197
"2009-03-27",17.9499
"2009-03-28",8.013
"2009-03-29",24.3791
"2009-03-30",29.8852
"2009-03-31",3.1576
"2009-04-01",10.5735
"2009-04-02",10.3217
"2009-04-03",6.953
"2009-04-04",15.1302
"2009-04-05",22.1649
"2009-04-06",13.1883
"2009-04-07",11.9938
"2009-04-08",14.953
"2009-04-09",25.9009
"2009-04-10",26.682
"2009-04-11",42.4521
"2009-04-12",1.8341
"2009-04-13",13.5601
"2009-04-14",0.7539
"2009-04-15",5.2521
"2009-04-16",0
"2009-04-17",0
"2009-04-18",0
"2009-04-19",0.1008
"2009-04-20",0.0537
"2009-04-21",0
"2009-04-22",5.8222
"2009-04-23",1.4108
"2009-04-24",0
"2009-04-25",0
"2009-04-26",0.003
"2009-04-27",0
"2009-04-28",0.9429
"2009-04-29",2.6639
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",20.2467
"2009-05-06",8.5224
"2009-05-07",18.2534
"2009-05-08",52.9001
"2009-05-09",11.9557
"2009-05-10",22.2742
"2009-05-11",0
"2009-05-12",45.6255
"2009-05-13",3.658
"2009-05-14",7.5571
"2009-05-15",0
"2009-05-16",20.3849
"2009-05-17",26.0858
"2009-05-18",5.0411
"2009-05-19",52.1562
"2009-05-20",52.8069
"2009-05-21",26.6844
"2009-05-22",24.9048
"2009-05-23",10.891
"2009-05-24",13.3995
"2009-05-25",10.1785
"2009-05-26",32.9293
"2009-05-27",8.6106
"2009-05-28",0
"2009-05-29",0
"2009-05-30",36.4456
"2009-05-31",7.5848
"2009-06-01",0
"2009-06-02",0
"2009-06-03",1.7239
"2009-06-04",1.0663
"2009-06-05",35.5879
"2009-06-06",6.0628
"2009-06-07",23.4002
"2009-06-08",0.0451
"2009-06-09",0
"2009-06-10",0
"2009-06-11",4.3018
"2009-06-12",33.9555
"2009-06-13",0.1869
"2009-06-14",0.391
"2009-06-15",0
"2009-06-16",4.3238
"2009-06-17",6.5553
"2009-06-18",52.9847
"2009-06-19",56.0507
"2009-06-20",8.2831
"2009-06-21",0
"2009-06-22",0.1531
"2009-06-23",0.7202
"2009-06-24",29.3515
"2009-06-25",33.2691
"2009-06-26",18.83
"2009-06-27",55.0295
"2009-06-28",29.2809
"2009-06-29",46.2337
"2009-06-30",29.7075
"2009-07-01",2.8625
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0.958
"2009-07-05",0.0287
"2009-07-06",52.929
