,"(mm) Precipitation (CHIRPS) at Matale, 2007-01-01 to 2025-12-31"
"2008-12-07",56.3387
"2008-12-08",22.5159
"2008-12-09",18.6239
"2008-12-10",6.5383
"2008-12-11",5.7899
"2008-12-12",0
"2008-12-13",3.158
"2008-12-14",0
"2008-12-15",13.2241
"2008-12-16",11.2787
"2008-12-17",8.5855
"2008-12-18",23.3469
"2008-12-19",0
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0.8863
"2008-12-23",0
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",10.5684
"2009-01-07",0.0445
"2009-01-08",16.5199
"2009-01-09",42.3058
"2009-01-10",6.4923
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0.7879
"2009-01-22",0
"2009-01-23",0
"2009-01-24",0.3707
"2009-01-25",9.4852
"2009-01-26",5.4601
"2009-01-27",0
"2009-01-28",0
"2009-01-29",0
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0.164
"2009-02-20",0
"2009-02-21",0.7959
"2009-02-22",9.0928
"2009-02-23",2.4158
"2009-02-24",0
"2009-02-25",0
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0
"2009-03-06",0
"2009-03-07",0
"2009-03-08",27.9413
"2009-03-09",48.7942
"2009-03-10",42.966
"2009-03-11",17.8356
"2009-03-12",19.7918
"2009-03-13",16.8718
"2009-03-14",18.1613
"2009-03-15",9.9914
"2009-03-16",0.5831
"2009-03-17",0.2323
"2009-03-18",0
"2009-03-19",1.4009
"2009-03-20",2.9094
